Source,Plotpy,API changes
guiqwt.geometry.colvector,plotpy.gui.widgets.geometry.colvector
guiqwt.pyplot.close,plotpy.gui.widgets.pyplot.close
guiqwt.styles.FontParam,plotpy.gui.widgets.styles.FontParam
guiqwt.tools.CommandTool,plotpy.gui.widgets.tools.CommandTool
guiqwt.widgets.fit.AutoFitParam,plotpy.gui.widgets.fit.AutoFitParam
guiqwt.events.EventMatch,plotpy.gui.widgets.events.EventMatch
guiqwt.styles.BrushStyleItem,plotpy.gui.widgets.styles.BrushStyleItem
guiqwt.histogram.lut_range_threshold,plotpy.gui.widgets.histogram.lut_range_threshold
guiqwt.tools.SignalStatsTool,plotpy.gui.widgets.tools.CurveStatsTool,Class name changed
guiqwt.colormap.register_extra_colormap,plotpy.gui.widgets.colormap.register_extra_colormap
guiqwt.label.LabelItem,plotpy.gui.widgets.items.label.LabelItem
guiqwt.label.AbstractLabelItem,plotpy.gui.widgets.items.label.AbstractLabelItem
guiqwt.tools.RotateCropTool,plotpy.gui.widgets.tools.RotateCropTool
guiqwt.interfaces.ISerializableType,plotpy.gui.widgets.interfaces.ISerializableType
guiqwt.pyplot.interactive,plotpy.gui.widgets.pyplot.interactive
guiqwt.image.pixelround,plotpy.gui.widgets.items.image.pixelround
guiqwt.histogram.EliminateOutliersParam,plotpy.gui.widgets.histogram.EliminateOutliersParam
guiqwt.tools.TextParam,plotpy.gui.widgets.tools.TextParam
guiqwt.interfaces.ITrackableItemType,plotpy.gui.widgets.interfaces.ITrackableItemType
guiqwt.tools.GuiTool,plotpy.gui.widgets.tools.GuiTool
guiqwt.plot.CurveWidget,plotpy.gui.widgets.plot.PlotWidget,See `Generic PlotWidgets`_
guiqwt.interfaces.IExportROIImageItemType,plotpy.gui.widgets.interfaces.IExportROIImageItemType
guiqwt.image.MaskedArea,plotpy.gui.widgets.items.image.MaskedArea
guiqwt.pyplot.Axes,plotpy.gui.widgets.pyplot.Axes
guiqwt.events.QtDragHandler,plotpy.gui.widgets.events.QtDragHandler
guiqwt.annotations.AnnotatedEllipse,plotpy.gui.widgets.items.annotations.AnnotatedEllipse
guiqwt.styles.FontItemWidget,plotpy.gui.widgets.styles.FontItemWidget
guiqwt.curve.test_seg_dist,plotpy.gui.widgets.items.curve.test_seg_dist
guiqwt.config.make_title,plotpy.gui.widgets.config.make_title
guiqwt.tools.LoadItemsTool,plotpy.gui.widgets.tools.LoadItemsTool
guiqwt.styles.LabelParam,plotpy.gui.widgets.styles.LabelParam
guiqwt.tools.AverageCrossSectionTool,plotpy.gui.widgets.tools.AverageCrossSectionTool
guiqwt.curve.ErrorBarCurveItem,plotpy.gui.widgets.items.curve.ErrorBarCurveItem
guiqwt.plot.CurveWidgetMixin,plotpy.gui.widgets.plot.PlotWidgetMixin,See `Generic PlotWidgets`_
guiqwt.cross_section.HorizontalCrossSectionPlot,plotpy.gui.widgets.cross_section.HorizontalCrossSectionPlot
guiqwt.label.RangeComputation2d,plotpy.gui.widgets.items.label.RangeComputation2d
guiqwt.io.save_items,plotpy.gui.widgets.io.save_items
guiqwt.image.BaseImageItem,plotpy.gui.widgets.items.image.BaseImageItem,see `Renamed PlotItems fields`_"
guiqwt.tools.YCSPanelTool,plotpy.gui.widgets.tools.YCSPanelTool
guiqwt.pyplot.do_mainloop,plotpy.gui.widgets.pyplot.do_mainloop
guiqwt.pyplot.colormap,plotpy.gui.widgets.pyplot.colormap
guiqwt.pyplot.title,plotpy.gui.widgets.pyplot.title
guiqwt.tools.ImageMaskTool,plotpy.gui.widgets.tools.ImageMaskTool
guiqwt.tools.DefaultToolbarID,plotpy.gui.widgets.tools.DefaultToolbarID
guiqwt.io.item_name_from_object,plotpy.gui.widgets.io.item_name_from_object
guiqwt.events.MouseMoveMatch,plotpy.gui.widgets.events.MouseMoveMatch
guiqwt.label.RangeInfo,plotpy.gui.widgets.items.label.RangeInfo
guiqwt.tools.AspectRatioTool,plotpy.gui.widgets.tools.AspectRatioTool
guiqwt.io.imagefile_to_array,plotpy.gui.widgets.io.imagefile_to_array
guiqwt.tools.PlaceAxesTool,plotpy.gui.widgets.tools.PlaceAxesTool
guiqwt.colormap._setup_colormap,plotpy.gui.widgets.colormap._setup_colormap
guiqwt.label.ObjectInfo,plotpy.gui.widgets.items.label.ObjectInfo
guiqwt.styles.ImageParam,plotpy.gui.widgets.styles.ImageParam,See `Renamed update_curve and update_image methods`_
guiqwt.plot.CurveDialog,plotpy.gui.widgets.plot.PlotDialog,See `Generic PlotWidgets`_
guiqwt.events.MoveHandler,plotpy.gui.widgets.events.MoveHandler
guiqwt.tools.export_image_data,plotpy.gui.widgets.tools.export_image_data
guiqwt.image.QuadGridItem,plotpy.gui.widgets.items.image.QuadGridItem
guiqwt.styles.FontItem,plotpy.gui.widgets.styles.FontItem
guiqwt.tools.AxisScaleTool,plotpy.gui.widgets.tools.AxisScaleTool
guiqwt.pyplot.imshow,plotpy.gui.widgets.pyplot.imshow
guiqwt.styles.TextStyleParam,plotpy.gui.widgets.styles.TextStyleParam
guiqwt.cross_section.get_plot_x_section,plotpy.gui.widgets.cross_section.get_plot_x_section
guiqwt.annotations.AnnotatedObliqueRectangle,plotpy.gui.widgets.items.annotations.AnnotatedObliqueRectangle
